estacion_id,estacion_nombre,sensor_id,sensor_alias,sensor_nombre,fecha_observacion,metrica,valor
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-01,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-01,media,1.10208
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-01,minimo,0.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-01,maximo,1.9
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-02,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-02,media,1.16736
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-02,minimo,0.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-02,maximo,2.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-03,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-03,media,1.11042
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-03,minimo,0.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-03,maximo,1.9
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-04,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-04,media,1.27917
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-04,minimo,0.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-04,maximo,2.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-05,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-05,media,1.47639
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-05,minimo,0.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-05,maximo,2.2
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-06,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-06,media,1.45417
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-06,minimo,0.2
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-06,maximo,2.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-07,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-07,media,1.38681
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-07,minimo,0.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-07,maximo,2.3
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-08,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-08,media,1.23403
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-08,minimo,0.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-08,maximo,2.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-09,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-09,media,1.22083
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-09,minimo,0.2
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-09,maximo,2.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-10,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-10,media,1.07361
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-10,minimo,0.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-10,maximo,2.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-11,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-11,media,0.925694
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-11,minimo,0.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-11,maximo,1.8
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-12,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-12,media,1.14028
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-12,minimo,0.4
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-12,maximo,1.9
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-13,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-13,media,1.075
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-13,minimo,0.5
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-13,maximo,1.8
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-14,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-14,media,1.27778
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-14,minimo,0.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-14,maximo,2.5
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-15,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-15,media,1.24653
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-15,minimo,0.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-15,maximo,2.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-16,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-16,media,1.22986
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-16,minimo,0.4
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-16,maximo,2.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-17,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-17,media,0.920833
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-17,minimo,0.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-17,maximo,1.6
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-18,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-18,media,1.07431
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-18,minimo,0.3
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-18,maximo,2.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-19,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-19,media,1.38542
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-19,minimo,0.6
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-19,maximo,2.6
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-20,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-20,media,1.15486
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-20,minimo,0.3
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-20,maximo,2.2
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-21,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-21,media,1.11528
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-21,minimo,0.3
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-21,maximo,1.8
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-22,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-22,media,1.16458
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-22,minimo,0.5
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-22,maximo,2.2
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-23,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-23,media,1.13889
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-23,minimo,0.7
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-23,maximo,1.9
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-24,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-24,media,1.03889
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-24,minimo,0.4
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-24,maximo,1.7
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-25,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-25,media,1.14236
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-25,minimo,0.4
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-25,maximo,2.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-26,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-26,media,1.38125
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-26,minimo,0.3
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-26,maximo,2.3
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-27,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-27,media,1.15625
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-27,minimo,0.2
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-27,maximo,1.7
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-28,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-28,media,1.0875
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-28,minimo,0.4
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-28,maximo,2.4
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-29,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-29,media,0.965278
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-29,minimo,0.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-29,maximo,1.7
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-30,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-30,media,1.00208
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-30,minimo,0.2
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-30,maximo,1.6
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-31,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-31,media,0.936111
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-31,minimo,0.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-01-31,maximo,1.8
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-01,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-01,media,1.07083
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-01,minimo,0.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-01,maximo,1.8
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-02,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-02,media,1.34931
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-02,minimo,0.2
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-02,maximo,2.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-03,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-03,media,1.32083
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-03,minimo,0.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-03,maximo,2.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-04,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-04,media,1.11319
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-04,minimo,0.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-04,maximo,1.9
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-05,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-05,media,1.07917
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-05,minimo,0.1
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-05,maximo,2.9
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-06,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-06,media,1.22986
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-06,minimo,0.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-06,maximo,2.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-07,total,
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-07,media,1.01319
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-07,minimo,0.0
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-07,maximo,1.7
57,LLANITOP,571,WSP,Velocidad del viento,2023-02-08,total,
